Date,TSA,PSI
2010-01-07,0.0057702996,0.00120012
2010-01-08,0.0071743936,0.00270027
2010-01-09,0.017476086,0.00840084
2010-01-10,0.0459897,0.03210321
2010-01-11,0.08098317,0.062406242
2010-01-12,0.09841795,0.0879088
2010-01-13,0.1035688,0.09210921
2010-01-14,0.11883739,0.09630963
2010-01-15,0.10117734,0.06750675
2010-01-16,0.06677704,0.03180318
2010-01-17,0.07063642,0.013801381
2010-01-18,0.042310525,0.00540054
2010-01-19,0.00039795166,0.0
2010-01-20,0.0066225166,0.00060006
2010-01-21,0.060090706,0.017701771
2010-01-22,0.06267739,0.02820282
2010-01-23,0.09069169,0.05940594
2010-01-24,0.06438558,0.0420042
2010-01-25,0.057504017,0.03180318
2010-01-26,0.041390732,0.02070207
2010-01-27,0.011405446,0.01140114
2010-01-28,0.007760058,0.0060006003
2010-01-29,0.0047829286,0.0036003604
2010-01-30,0.0031836133,0.0015001501
2010-01-31,0.017476086,0.01170117
2010-02-01,0.017476086,0.013801381
2010-02-02,0.014348787,0.012301231
2010-02-03,0.008094187,0.0069006905
2010-02-04,0.0069904346,0.00510051
2010-02-05,0.0069904346,0.0039003901
2010-02-06,0.03072112,0.02160216
2010-02-07,0.08903606,0.068106815
2010-02-08,0.10412068,0.090009004
2010-02-09,0.07707874,0.060906094
2010-02-10,0.08039,0.0570057
2010-02-11,0.088116266,0.05730573
2010-02-12,0.07700365,0.0390039
2010-02-13,0.09749817,0.0390039
2010-02-14,0.04451803,0.02040204
2010-02-15,0.027458666,0.01410141
2010-02-16,0.014348787,0.00750075
2010-02-17,0.019897584,0.01590159
2010-02-18,0.016372334,0.017701771
2010-02-19,0.013428993,0.01350135
2010-02-20,0.01526858,0.013201321
2010-02-21,0.013331381,0.00750075
2010-02-22,0.013980869,0.00450045
2010-02-23,0.007358352,0.0018001802
2010-02-24,0.034400295,0.01050105
2010-02-25,0.025754232,0.012001201
2010-02-26,0.016372334,0.00870087
2010-02-27,0.012509198,0.00870087
2010-02-28,0.00772627,0.0066006603
2010-03-01,0.0031272995,0.00270027
2010-03-02,0.011773364,0.00930093
2010-03-03,0.01232524,0.0069006905
2010-03-04,0.020971304,0.00750075
2010-03-05,0.012734453,0.00210021
2010-03-06,0.0023877101,0.00210021
2010-03-07,0.002759382,0.00210021
2010-03-08,0.0047754203,0.0033003301
2010-03-09,0.00059692754,0.00060006
2010-03-10,0.00036791762,0.0
2010-03-11,0.02023547,0.012301231
2010-03-12,0.051140547,0.03660366
2010-03-13,0.10287052,0.0870087
2010-03-14,0.08774835,0.08970897
2010-03-15,0.064866126,0.058805883
2010-03-16,0.047093455,0.0390039
2010-03-17,0.03311258,0.02520252
2010-03-18,0.020787343,0.01110111
2010-03-19,0.01692421,0.00810081
2010-03-20,0.005334805,0.00450045
2010-03-21,0.027409863,0.02490249
2010-03-22,0.017844003,0.01110111
2010-03-23,0.00772627,0.0036003604
2010-03-24,0.06144224,0.013201321
2010-03-25,0.10062546,0.04320432
2010-03-26,0.12454011,0.08310831
2010-03-27,0.1410964,0.10441045
2010-03-28,0.15654893,0.13021302
2010-03-29,0.14238411,0.124812484
2010-03-30,0.10824286,0.089108914
2010-03-31,0.07700365,0.05940594
2010-04-01,0.08498897,0.06990699
2010-04-02,0.074319355,0.049204923
2010-04-03,0.05978661,0.02430243
2010-04-04,0.05790197,0.012301231
2010-04-05,0.02317881,0.00990099
2010-04-06,0.049852833,0.040504053
2010-04-07,0.03219279,0.026102612
2010-04-08,0.02133922,0.014701471
2010-04-09,0.008462105,0.00270027
2010-04-10,0.008278145,0.00120012
2010-04-11,0.00039795166,0.00030003
2010-04-12,0.0047829286,0.00480048
2010-04-13,0.0029846376,0.00240024
2010-04-14,0.001392831,0.0009000901
2010-04-15,0.00039795166,0.00030003
2010-04-16,0.0,0.0
2010-04-17,0.0,0.0
2010-04-18,0.0,0.0
2010-04-19,0.0,0.0
2010-04-20,0.00059692754,0.00060006
2010-04-21,0.001392831,0.00030003
2010-04-22,0.005518764,0.00270027
2010-04-23,0.0,0.0
2010-04-24,0.002785662,0.0018001802
2010-04-25,0.0,0.0
2010-04-26,0.0007959033,0.00060006
2010-04-27,0.0007959033,0.00060006
2010-04-28,0.000919794,0.00060006
2010-04-29,0.0009948793,0.00030003
2010-04-30,0.0007959033,0.00030003
2010-05-01,0.017476086,0.00540054
2010-05-02,0.009381899,0.0033003301
2010-05-03,0.029617367,0.013801381
2010-05-04,0.024275055,0.013201321
2010-05-05,0.031089036,0.0180018
2010-05-06,0.043230318,0.01830183
2010-05-07,0.02133922,0.0060006003
2010-05-08,0.009749816,0.0015001501
2010-05-09,0.0,0.0
2010-05-10,0.0,0.0
2010-05-11,0.00059692754,0.00030003
2010-05-12,0.0,0.0
2010-05-13,0.0,0.0
2010-05-14,0.0,0.0
2010-05-15,0.0,0.0
2010-05-16,0.0,0.0
2010-05-17,0.0,0.0
2010-05-18,0.0,0.0
2010-05-19,0.0,0.0
2010-05-20,0.00039795166,0.00030003
2010-05-21,0.00919794,0.0078007802
2010-05-22,0.03495217,0.035703573
2010-05-23,0.035504047,0.038703874
2010-05-24,0.035504047,0.03780378
2010-05-25,0.03863135,0.027302733
2010-05-26,0.025386315,0.0180018
2010-05-27,0.023546727,0.01050105
2010-05-28,0.021891098,0.00510051
2010-05-29,0.03366446,0.0090009
2010-05-30,0.0130610755,0.00990099
2010-05-31,0.002785662,0.00210021
2010-06-01,0.006438558,0.00630063
2010-06-02,0.016188374,0.01620162
2010-06-03,0.04451803,0.04080408
2010-06-04,0.05500368,0.04140414
2010-06-05,0.03256071,0.01590159
2010-06-06,0.02152318,0.0066006603
2010-06-07,0.013980869,0.0018001802
2010-06-08,0.011773364,0.00750075
2010-06-09,0.035320092,0.01830183
2010-06-10,0.05518764,0.01920192
2010-06-11,0.08774835,0.02010201
2010-06-12,0.04764533,0.02370237
2010-06-13,0.04433407,0.01140114
2010-06-14,0.026674027,0.0036003604
2010-06-15,0.0,0.0
2010-06-16,0.000919794,0.00030003
2010-06-17,0.0066225166,0.0036003604
2010-06-18,0.006438558,0.00420042
2010-06-19,0.012693157,0.01110111
2010-06-20,0.012509198,0.01170117
2010-06-21,0.011773364,0.01050105
2010-06-22,0.01361295,0.01080108
2010-06-23,0.008462105,0.00510051
2010-06-24,0.005518764,0.00240024
2010-06-25,0.003679176,0.0018001802
2010-06-26,0.014900662,0.00120012
2010-06-27,0.029617367,0.00570057
2010-06-28,0.030353202,0.01140114
2010-06-29,0.034584254,0.02190219
2010-06-30,0.03274467,0.026402641
2010-07-01,0.038999263,0.0360036
2010-07-02,0.032928623,0.032703273
2010-07-03,0.03495217,0.03480348
2010-07-04,0.034216337,0.030003
2010-07-05,0.037527595,0.02670267
2010-07-06,0.03697572,0.01890189
2010-07-07,0.03384842,0.01050105
2010-07-08,0.03200883,0.00420042
2010-07-09,0.0057702996,0.0015001501
2010-07-10,0.04102281,0.0090009
2010-07-11,0.04930096,0.01920192
2010-07-12,0.040654894,0.025502551
2010-07-13,0.030169243,0.02490249
2010-07-14,0.02299485,0.02280228
2010-07-15,0.023362767,0.02490249
2010-07-16,0.02133922,0.02160216
2010-07-17,0.016004415,0.014701471
2010-07-18,0.005886682,0.00420042
2010-07-19,0.005702723,0.0039003901
2010-07-20,0.046541575,0.00810081
2010-07-21,0.09473878,0.030603062
2010-07-22,0.07707874,0.044104412
2010-07-23,0.094370864,0.06870687
2010-07-24,0.054819725,0.045004502
2010-07-25,0.048197206,0.04290429
2010-07-26,0.040654894,0.0360036
2010-07-27,0.023546727,0.01830183
2010-07-28,0.049852833,0.012001201
2010-07-29,0.096026495,0.03240324
2010-07-30,0.093267106,0.03240324
2010-07-31,0.07284768,0.03810381
2010-08-01,0.06438558,0.05550555
2010-08-02,0.06548934,0.06570657
2010-08-03,0.06291391,0.07110711
2010-08-04,0.10062546,0.08040804
2010-08-05,0.11331862,0.075007506
2010-08-06,0.13153054,0.08430844
2010-08-07,0.11350258,0.06720672
2010-08-08,0.09805004,0.06210621
2010-08-09,0.09400295,0.05340534
2010-08-10,0.05813098,0.06210621
2010-08-11,0.05978661,0.051905192
2010-08-12,0.052244302,0.04710471
2010-08-13,0.0459897,0.0360036
2010-08-14,0.041942608,0.02430243
2010-08-15,0.058866818,0.02130213
2010-08-16,0.057211187,0.014401441
